Date,Close,Symbol,Rolling_Avg_150d
2025-01-02,143.63,DDOG,
2025-01-03,144.83,DDOG,
2025-01-06,146.04,DDOG,
2025-01-07,141.4,DDOG,
2025-01-08,141.88,DDOG,
2025-01-10,140.42,DDOG,
2025-01-13,138.0,DDOG,
2025-01-14,139.16,DDOG,
2025-01-15,140.95,DDOG,
2025-01-16,136.79,DDOG,
2025-01-17,138.4,DDOG,
2025-01-21,138.4,DDOG,
2025-01-22,140.12,DDOG,
2025-01-23,140.2,DDOG,
2025-01-24,140.99,DDOG,
2025-01-27,142.16,DDOG,
2025-01-28,151.89,DDOG,
2025-01-29,145.72,DDOG,
2025-01-30,142.61,DDOG,
2025-01-31,142.71,DDOG,
2025-02-03,143.155,DDOG,
2025-02-04,145.83,DDOG,
2025-02-05,144.85,DDOG,
2025-02-06,144.85,DDOG,
2025-02-07,142.65,DDOG,
2025-02-10,147.1,DDOG,
2025-02-11,145.42,DDOG,
2025-02-12,148.09,DDOG,
2025-02-13,135.89,DDOG,
2025-02-14,131.01,DDOG,
2025-02-18,130.63,DDOG,
2025-02-19,128.85,DDOG,
2025-02-20,126.24,DDOG,
2025-02-21,119.64,DDOG,
2025-02-24,117.51,DDOG,
2025-02-25,114.98,DDOG,
2025-02-26,113.37,DDOG,
2025-02-27,113.53,DDOG,
2025-02-28,116.55,DDOG,
2025-03-03,113.17,DDOG,
2025-03-04,115.46,DDOG,
2025-03-05,115.09,DDOG,
2025-03-06,111.46,DDOG,
2025-03-07,109.63,DDOG,
2025-03-10,101.65,DDOG,
2025-03-11,101.96,DDOG,
2025-03-12,102.03,DDOG,
2025-03-13,98.68,DDOG,
2025-03-14,101.8,DDOG,
2025-03-17,103.97,DDOG,
2025-03-18,102.93,DDOG,
2025-03-19,104.43,DDOG,
2025-03-20,103.17,DDOG,
2025-03-21,105.03,DDOG,
2025-03-24,110.17,DDOG,
2025-03-25,110.58,DDOG,
2025-03-26,107.97,DDOG,
2025-03-27,104.85,DDOG,
2025-03-28,101.1,DDOG,
2025-03-31,99.21,DDOG,
2025-04-01,101.06,DDOG,
2025-04-02,101.71,DDOG,
2025-04-03,94.47,DDOG,
2025-04-04,87.93,DDOG,
2025-04-07,88.2,DDOG,
2025-04-08,87.0,DDOG,
2025-04-09,97.44,DDOG,
2025-04-10,93.18,DDOG,
2025-04-11,92.02,DDOG,
2025-04-14,91.88,DDOG,
2025-04-15,92.55,DDOG,
2025-04-16,91.88,DDOG,
2025-04-17,91.18,DDOG,
2025-04-21,88.92,DDOG,
2025-04-22,91.42,DDOG,
2025-04-23,94.58,DDOG,
2025-04-24,99.6,DDOG,
2025-04-25,101.52,DDOG,
2025-04-28,101.74,DDOG,
2025-04-29,102.31,DDOG,
2025-04-30,102.16,DDOG,
2025-05-01,106.32,DDOG,
2025-05-02,105.0,DDOG,
2025-05-05,105.7,DDOG,
2025-05-06,106.06,DDOG,
2025-05-07,106.02,DDOG,
2025-05-08,109.22,DDOG,
2025-05-09,107.88,DDOG,
2025-05-12,113.42,DDOG,
2025-05-13,117.31,DDOG,
