Date,Close,Symbol,Rolling_Avg_150d
2025-01-02,26.38,KTOS,
2025-01-03,27.48,KTOS,
2025-01-06,29.53,KTOS,
2025-01-07,28.61,KTOS,
2025-01-08,28.94,KTOS,
2025-01-10,29.37,KTOS,
2025-01-13,30.89,KTOS,
2025-01-14,32.76,KTOS,
2025-01-15,34.05,KTOS,
2025-01-16,33.61,KTOS,
2025-01-17,33.62,KTOS,
2025-01-21,35.22,KTOS,
2025-01-22,34.95,KTOS,
2025-01-23,34.57,KTOS,
2025-01-24,34.13,KTOS,
2025-01-27,33.48,KTOS,
2025-01-28,33.48,KTOS,
2025-01-29,32.75,KTOS,
2025-01-30,33.65,KTOS,
2025-01-31,33.37,KTOS,
2025-02-03,33.2,KTOS,
2025-02-04,34.38,KTOS,
2025-02-05,34.28,KTOS,
2025-02-06,32.54,KTOS,
2025-02-07,32.46,KTOS,
2025-02-10,33.09,KTOS,
2025-02-11,32.07,KTOS,
2025-02-12,31.01,KTOS,
2025-02-13,28.56,KTOS,
2025-02-14,27.16,KTOS,
2025-02-18,27.05,KTOS,
2025-02-19,26.85,KTOS,
2025-02-20,25.99,KTOS,
2025-02-21,25.29,KTOS,
2025-02-24,24.39,KTOS,
2025-02-25,25.11,KTOS,
2025-02-26,24.96,KTOS,
2025-02-27,26.27,KTOS,
2025-02-28,26.39,KTOS,
2025-03-03,26.01,KTOS,
2025-03-04,26.38,KTOS,
2025-03-05,27.81,KTOS,
2025-03-06,26.88,KTOS,
2025-03-07,27.29,KTOS,
2025-03-10,29.18,KTOS,
2025-03-11,29.06,KTOS,
2025-03-12,29.6,KTOS,
2025-03-13,29.52,KTOS,
2025-03-14,30.43,KTOS,
2025-03-17,31.89,KTOS,
2025-03-18,31.25,KTOS,
2025-03-19,32.56,KTOS,
2025-03-20,31.7,KTOS,
2025-03-21,30.81,KTOS,
2025-03-24,32.53,KTOS,
2025-03-25,32.96,KTOS,
2025-03-26,31.415,KTOS,
2025-03-27,31.47,KTOS,
2025-03-28,30.68,KTOS,
2025-03-31,29.69,KTOS,
2025-04-01,29.3,KTOS,
2025-04-02,31.16,KTOS,
2025-04-03,30.42,KTOS,
2025-04-04,27.82,KTOS,
2025-04-07,28.24,KTOS,
2025-04-08,28.92,KTOS,
2025-04-09,31.83,KTOS,
2025-04-10,31.71,KTOS,
2025-04-11,33.24,KTOS,
2025-04-14,32.985,KTOS,
2025-04-15,32.96,KTOS,
2025-04-16,33.27,KTOS,
2025-04-17,33.09,KTOS,
2025-04-21,31.92,KTOS,
2025-04-22,32.12,KTOS,
2025-04-23,32.96,KTOS,
2025-04-24,33.29,KTOS,
2025-04-25,33.59,KTOS,
2025-04-28,33.5,KTOS,
2025-04-29,34.42,KTOS,
2025-04-30,33.785,KTOS,
2025-05-01,34.93,KTOS,
2025-05-02,36.29,KTOS,
2025-05-05,35.88,KTOS,
2025-05-06,36.23,KTOS,
2025-05-07,36.06,KTOS,
2025-05-08,34.22,KTOS,
2025-05-09,33.61,KTOS,
2025-05-12,33.93,KTOS,
2025-05-13,33.78,KTOS,
2025-05-14,33.53,KTOS,
2025-05-15,34.39,KTOS,
2025-05-16,35.21,KTOS,
2025-05-19,35.13,KTOS,
2025-05-20,35.74,KTOS,
2025-05-21,34.33,KTOS,
2025-05-22,35.2,KTOS,
2025-05-23,36.01,KTOS,
2025-05-27,38.12,KTOS,
2025-05-28,37.33,KTOS,
2025-05-29,36.43,KTOS,
2025-05-30,36.89,KTOS,
2025-06-02,38.04,KTOS,
2025-06-03,39.09,KTOS,
2025-06-04,40.1,KTOS,
2025-06-05,40.36,KTOS,
2025-06-06,40.47,KTOS,
2025-06-09,40.59,KTOS,
2025-06-10,39.3,KTOS,
2025-06-11,40.4,KTOS,
2025-06-12,41.24,KTOS,
2025-06-13,41.76,KTOS,
2025-06-16,41.21,KTOS,
2025-06-17,43.23,KTOS,
2025-06-18,42.16,KTOS,
2025-06-20,43.11,KTOS,
2025-06-23,43.63,KTOS,
2025-06-24,40.77,KTOS,
2025-06-25,42.33,KTOS,
2025-06-26,41.33,KTOS,
2025-06-27,45.84,KTOS,
2025-06-30,46.45,KTOS,
2025-07-01,43.07,KTOS,
2025-07-02,43.28,KTOS,
2025-07-03,44.66,KTOS,
2025-07-07,44.78,KTOS,
2025-07-08,44.34,KTOS,
2025-07-09,46.02,KTOS,
2025-07-10,46.27,KTOS,
2025-07-11,51.71,KTOS,
2025-07-14,51.99,KTOS,
2025-07-15,51.12,KTOS,
2025-07-16,54.28,KTOS,
2025-07-17,58.91,KTOS,
2025-07-18,59.12,KTOS,
2025-07-21,58.78,KTOS,
2025-07-22,55.42,KTOS,
2025-07-23,58.78,KTOS,
2025-07-24,58.66,KTOS,
2025-07-25,59.77,KTOS,
2025-07-28,59.36,KTOS,
2025-07-29,57.09,KTOS,
2025-07-30,58.01,KTOS,
2025-07-31,58.7,KTOS,
2025-08-01,56.71,KTOS,
2025-08-04,59.5,KTOS,
2025-08-05,59.4,KTOS,
2025-08-06,58.93,KTOS,
2025-08-07,59.08,KTOS,
2025-08-08,63.88,KTOS,37.25203333333334
2025-08-11,65.41,KTOS,37.512233333333334
2025-08-12,69.14,KTOS,37.78996666666667
2025-08-13,68.75,KTOS,38.051433333333335
2025-08-14,69.12,KTOS,38.3215
2025-08-15,68.5,KTOS,38.58523333333334
2025-08-18,68.74,KTOS,38.847699999999996
2025-08-19,64.02,KTOS,39.06856666666667
2025-08-20,64.27,KTOS,39.27863333333333
2025-08-21,64.78,KTOS,39.4835
2025-08-22,66.71,KTOS,39.704166666666666
2025-08-25,66.9,KTOS,39.926033333333336
2025-08-26,68.05,KTOS,40.1449
2025-08-27,67.92,KTOS,40.3647
2025-08-28,68.51,KTOS,40.59096666666667
2025-08-29,65.84,KTOS,40.80236666666667
2025-09-02,66.09,KTOS,41.01976666666667
2025-09-03,64.5,KTOS,41.22656666666667
2025-09-04,63.59,KTOS,41.432166666666674
2025-09-05,64.81,KTOS,41.6399
2025-09-08,64.14,KTOS,41.84503333333333
2025-09-09,64.56,KTOS,42.0541
2025-09-10,65.66,KTOS,42.26263333333333
2025-09-11,67.67,KTOS,42.48523333333333
2025-09-12,69.2,KTOS,42.72963333333334
2025-09-15,70.74,KTOS,42.984833333333334
2025-09-16,76.35,KTOS,43.27323333333333
2025-09-17,75.74,KTOS,43.56436666666667
2025-09-18,80.65,KTOS,43.8953
2025-09-19,80.77,KTOS,44.24336666666667
2025-09-22,80.72,KTOS,44.60043333333333
2025-09-23,83.9,KTOS,44.97943333333333
2025-09-24,81.18,KTOS,45.341633333333334
2025-09-25,84.2,KTOS,45.72970000000001
2025-09-26,86.28,KTOS,46.1363
2025-09-29,88.08,KTOS,46.560900000000004
2025-09-30,91.37,KTOS,47.00263333333333
2025-10-01,92.96,KTOS,47.45596666666667
2025-10-02,95.03,KTOS,47.914366666666666
2025-10-03,96.19,KTOS,48.3797
2025-10-06,100.25,KTOS,48.874633333333335
2025-10-07,103.69,KTOS,49.390033333333335
