Date,Close,Symbol,Rolling_Avg_150d
2025-01-02,3.49,NVTS,
2025-01-03,3.99,NVTS,
2025-01-06,4.25,NVTS,
2025-01-07,3.91,NVTS,
2025-01-08,3.43,NVTS,
2025-01-10,3.255,NVTS,
2025-01-13,2.96,NVTS,
2025-01-14,3.09,NVTS,
2025-01-15,3.52,NVTS,
2025-01-16,3.31,NVTS,
2025-01-17,3.26,NVTS,
2025-01-21,3.56,NVTS,
2025-01-22,3.37,NVTS,
2025-01-23,3.35,NVTS,
2025-01-24,3.45,NVTS,
2025-01-27,2.99,NVTS,
2025-01-28,2.98,NVTS,
2025-01-29,2.98,NVTS,
2025-01-30,3.03,NVTS,
2025-01-31,3.03,NVTS,
2025-02-03,2.9,NVTS,
2025-02-04,3.01,NVTS,
2025-02-05,3.14,NVTS,
2025-02-06,3.04,NVTS,
2025-02-07,2.97,NVTS,
2025-02-10,2.91,NVTS,
2025-02-11,2.76,NVTS,
2025-02-12,2.85,NVTS,
2025-02-13,2.9,NVTS,
2025-02-14,3.0,NVTS,
2025-02-18,3.33,NVTS,
2025-02-19,3.44,NVTS,
2025-02-20,3.4,NVTS,
2025-02-21,3.17,NVTS,
2025-02-24,2.89,NVTS,
2025-02-25,2.39,NVTS,
2025-02-26,2.6,NVTS,
2025-02-27,2.38,NVTS,
2025-02-28,2.44,NVTS,
2025-03-03,2.29,NVTS,
2025-03-04,2.44,NVTS,
2025-03-05,2.64,NVTS,
2025-03-06,2.49,NVTS,
2025-03-07,2.54,NVTS,
2025-03-10,2.235,NVTS,
2025-03-11,2.54,NVTS,
2025-03-12,2.44,NVTS,
2025-03-13,2.24,NVTS,
2025-03-14,2.5,NVTS,
2025-03-17,2.65,NVTS,
2025-03-18,2.48,NVTS,
2025-03-19,2.53,NVTS,
2025-03-20,2.33,NVTS,
2025-03-21,2.33,NVTS,
2025-03-24,2.26,NVTS,
2025-03-25,2.21,NVTS,
2025-03-26,2.13,NVTS,
2025-03-27,2.04,NVTS,
2025-03-28,1.83,NVTS,
2025-03-31,2.05,NVTS,
2025-04-01,2.0,NVTS,
2025-04-02,1.91,NVTS,
2025-04-03,1.605,NVTS,
2025-04-04,1.81,NVTS,
2025-04-07,1.75,NVTS,
2025-04-08,1.63,NVTS,
2025-04-09,1.9,NVTS,
2025-04-10,1.76,NVTS,
2025-04-11,1.8,NVTS,
2025-04-14,1.74,NVTS,
2025-04-15,1.74,NVTS,
2025-04-16,1.73,NVTS,
2025-04-17,1.82,NVTS,
2025-04-21,1.8,NVTS,
2025-04-22,1.8,NVTS,
2025-04-23,1.86,NVTS,
2025-04-24,2.03,NVTS,
2025-04-25,2.05,NVTS,
2025-04-28,2.01,NVTS,
2025-04-29,1.96,NVTS,
2025-04-30,1.93,NVTS,
