Date,Close,Symbol,Rolling_Avg_150d
2025-02-24,48.6,SNDK,
2025-02-25,48.16,SNDK,
2025-02-26,46.58,SNDK,
2025-02-27,45.16,SNDK,
2025-02-28,46.85,SNDK,
2025-03-03,50.31,SNDK,
2025-03-04,48.69,SNDK,
2025-03-05,48.47,SNDK,
2025-03-06,46.5,SNDK,
2025-03-07,51.0,SNDK,
2025-03-10,53.0,SNDK,
2025-03-11,52.16,SNDK,
2025-03-12,50.44,SNDK,
2025-03-13,48.44,SNDK,
2025-03-14,54.82,SNDK,
2025-03-17,55.65,SNDK,
2025-03-18,56.42,SNDK,
2025-03-19,56.33,SNDK,
2025-03-20,56.21,SNDK,
2025-03-21,53.96,SNDK,
2025-03-24,52.99,SNDK,
2025-03-25,52.2,SNDK,
2025-03-26,52.62,SNDK,
2025-03-27,52.88,SNDK,
2025-03-28,48.97,SNDK,
2025-03-31,47.61,SNDK,
2025-04-01,48.11,SNDK,
2025-04-02,47.67,SNDK,
2025-04-03,38.26,SNDK,
2025-04-04,30.11,SNDK,
2025-04-07,31.48,SNDK,
2025-04-08,32.35,SNDK,
2025-04-09,36.58,SNDK,
2025-04-10,31.075,SNDK,
2025-04-11,31.97,SNDK,
2025-04-14,33.55,SNDK,
2025-04-15,33.23,SNDK,
2025-04-16,32.03,SNDK,
2025-04-17,31.29,SNDK,
2025-04-21,29.81,SNDK,
2025-04-22,29.62,SNDK,
2025-04-23,30.36,SNDK,
2025-04-24,32.29,SNDK,
2025-04-25,32.85,SNDK,
2025-04-28,32.27,SNDK,
2025-04-29,32.94,SNDK,
2025-04-30,32.11,SNDK,
2025-05-01,32.59,SNDK,
2025-05-02,34.4,SNDK,
2025-05-05,34.61,SNDK,
2025-05-06,33.83,SNDK,
2025-05-07,34.97,SNDK,
2025-05-08,36.66,SNDK,
2025-05-09,37.74,SNDK,
2025-05-12,41.27,SNDK,
2025-05-13,42.0,SNDK,
2025-05-14,41.93,SNDK,
2025-05-15,40.54,SNDK,
2025-05-16,40.44,SNDK,
2025-05-19,38.78,SNDK,
2025-05-20,40.18,SNDK,
2025-05-21,38.6,SNDK,
2025-05-22,37.84,SNDK,
2025-05-23,37.28,SNDK,
2025-05-27,38.18,SNDK,
2025-05-28,38.58,SNDK,
2025-05-29,38.6,SNDK,
2025-05-30,37.69,SNDK,
2025-06-02,37.33,SNDK,
2025-06-03,38.64,SNDK,
2025-06-04,39.82,SNDK,
2025-06-05,39.12,SNDK,
2025-06-06,39.15,SNDK,
2025-06-09,41.82,SNDK,
2025-06-10,41.59,SNDK,
2025-06-11,40.23,SNDK,
2025-06-12,41.3,SNDK,
2025-06-13,42.5,SNDK,
2025-06-16,44.21,SNDK,
2025-06-17,44.09,SNDK,
2025-06-18,46.62,SNDK,
2025-06-20,46.58,SNDK,
2025-06-23,46.95,SNDK,
2025-06-24,47.34,SNDK,
2025-06-25,47.25,SNDK,
2025-06-26,47.44,SNDK,
2025-06-27,47.15,SNDK,
2025-06-30,45.35,SNDK,
2025-07-01,44.96,SNDK,
2025-07-02,46.21,SNDK,
2025-07-03,46.41,SNDK,
2025-07-07,45.22,SNDK,
2025-07-08,46.17,SNDK,
2025-07-09,46.2,SNDK,
2025-07-10,46.95,SNDK,
2025-07-11,46.09,SNDK,
2025-07-14,42.48,SNDK,
2025-07-15,42.72,SNDK,
2025-07-16,41.36,SNDK,
2025-07-17,41.52,SNDK,
2025-07-18,42.19,SNDK,
2025-07-21,41.61,SNDK,
2025-07-22,41.36,SNDK,
2025-07-23,43.0,SNDK,
2025-07-24,42.06,SNDK,
2025-07-25,42.48,SNDK,
2025-07-28,41.89,SNDK,
2025-07-29,42.93,SNDK,
2025-07-30,43.39,SNDK,
2025-07-31,42.92,SNDK,
2025-08-01,41.33,SNDK,
2025-08-04,42.51,SNDK,
2025-08-05,41.93,SNDK,
2025-08-06,42.1,SNDK,
2025-08-07,40.69,SNDK,
2025-08-08,44.34,SNDK,
2025-08-11,43.37,SNDK,
2025-08-12,46.83,SNDK,
2025-08-13,47.01,SNDK,
2025-08-14,46.68,SNDK,
2025-08-15,44.54,SNDK,
2025-08-18,45.52,SNDK,
2025-08-19,44.58,SNDK,
2025-08-20,44.4,SNDK,
2025-08-21,45.5,SNDK,
2025-08-22,46.37,SNDK,
2025-08-25,46.78,SNDK,
2025-08-26,47.35,SNDK,
2025-08-27,48.44,SNDK,
2025-08-28,50.87,SNDK,
2025-08-29,52.47,SNDK,
2025-09-02,51.07,SNDK,
2025-09-03,53.01,SNDK,
2025-09-04,62.5,SNDK,
2025-09-05,68.55,SNDK,
2025-09-08,70.495,SNDK,
2025-09-09,70.51,SNDK,
2025-09-10,73.92,SNDK,
2025-09-11,84.3,SNDK,
2025-09-12,86.13,SNDK,
2025-09-15,90.09,SNDK,
2025-09-16,91.55,SNDK,
2025-09-17,93.97,SNDK,
2025-09-18,98.87,SNDK,
2025-09-19,102.21,SNDK,
2025-09-22,102.92,SNDK,
2025-09-23,106.4,SNDK,
2025-09-24,99.83,SNDK,
2025-09-25,94.29,SNDK,
2025-09-26,97.12,SNDK,48.050866666666664
2025-09-29,113.5,SNDK,48.483533333333334
2025-09-30,112.2,SNDK,48.910466666666665
2025-10-01,121.12,SNDK,49.407399999999996
2025-10-02,124.14,SNDK,49.933933333333336
2025-10-03,128.41,SNDK,50.477666666666664
2025-10-06,121.17,SNDK,50.950066666666665
2025-10-07,120.95,SNDK,51.431799999999996
2025-10-08,131.88,SNDK,51.98786666666667
2025-10-09,129.68,SNDK,52.5424
2025-10-10,116.91,SNDK,52.9818
2025-10-13,134.61,SNDK,53.525866666666666
2025-10-14,127.29,SNDK,54.02673333333333
2025-10-15,144.3,SNDK,54.65246666666667
2025-10-16,144.27,SNDK,55.29133333333334
2025-10-17,140.16,SNDK,55.860266666666675
2025-10-20,148.04,SNDK,56.47619999999999
2025-10-21,149.29,SNDK,57.09533333333334
2025-10-22,146.95,SNDK,57.69946666666665
2025-10-23,167.05,SNDK,58.4384
2025-10-24,186.16,SNDK,59.31973333333334
2025-10-27,176.49,SNDK,60.14306666666666
2025-10-28,175.53,SNDK,60.96526666666667
2025-10-29,204.36,SNDK,61.97686666666666
2025-10-30,195.82,SNDK,62.92980000000001
2025-10-31,199.33,SNDK,63.9322
2025-11-03,207.01,SNDK,64.99486666666668
2025-11-04,194.57,SNDK,65.97126666666666
2025-11-05,216.5,SNDK,67.0968
2025-11-06,207.69,SNDK,68.22633333333333
2025-11-07,239.48,SNDK,69.62213333333334
2025-11-10,267.95,SNDK,71.1986
2025-11-11,271.58,SNDK,72.79346666666667
2025-11-12,283.1,SNDK,74.43693333333333
2025-11-13,243.57,SNDK,75.85356666666667
2025-11-14,254.16,SNDK,77.33483333333334
2025-11-17,265.88,SNDK,78.8837
2025-11-18,244.93,SNDK,80.29503333333334
2025-11-19,245.96,SNDK,81.72123333333333
2025-11-20,195.96,SNDK,82.81903333333334
2025-11-21,200.27,SNDK,83.95543333333332
2025-11-24,226.96,SNDK,85.27103333333334
2025-11-25,220.5,SNDK,86.53863333333334
2025-11-26,215.04,SNDK,87.75696666666667
2025-11-28,223.28,SNDK,89.0265
2025-12-01,210.17,SNDK,90.2125
2025-12-02,205.35,SNDK,91.3619
2025-12-03,194.38,SNDK,92.4437
2025-12-04,213.31,SNDK,93.6485
2025-12-05,228.47,SNDK,94.9423
2025-12-08,225.47,SNDK,96.2147
2025-12-09,219.46,SNDK,97.45223333333334
2025-12-10,232.86,SNDK,98.7715
2025-12-11,241.61,SNDK,100.13783333333333
2025-12-12,206.18,SNDK,101.26076666666667
2025-12-15,201.87,SNDK,102.33143333333334
2025-12-16,209.31,SNDK,103.44683333333334
2025-12-17,206.83,SNDK,104.54616666666668
2025-12-18,219.46,SNDK,105.73896666666666
2025-12-19,237.61,SNDK,107.05343333333333
2025-12-22,241.05,SNDK,108.4019
2025-12-23,244.9,SNDK,109.7667
2025-12-24,250.08,SNDK,111.17656666666667
2025-12-26,250.05,SNDK,112.5913
2025-12-29,244.25,SNDK,113.97109999999998
2025-12-30,240.22,SNDK,115.31803333333332
2025-12-31,237.38,SNDK,116.64336666666668
2026-01-02,275.24,SNDK,118.22096666666664
2026-01-05,274.08,SNDK,119.7969
2026-01-06,349.63,SNDK,121.87890000000002
2026-01-07,353.56,SNDK,123.97836666666664
2026-01-08,334.54,SNDK,125.94316666666666
2026-01-09,377.41,SNDK,128.19843333333333
2026-01-12,389.27,SNDK,130.53256666666667
2026-01-13,389.81,SNDK,132.8525
2026-01-14,387.81,SNDK,135.16063333333332
2026-01-15,409.24,SNDK,137.6207
2026-01-16,413.62,SNDK,140.10283333333334
2026-01-20,453.12,SNDK,142.84029999999998
2026-01-21,501.29,SNDK,145.8875
2026-01-22,503.44,SNDK,148.94983333333334
2026-01-23,473.83,SNDK,151.7979
2026-01-26,470.8,SNDK,154.62603333333334
2026-01-27,481.43,SNDK,157.52256666666665
2026-01-28,527.63,SNDK,160.7245
2026-01-29,539.3,SNDK,164.00483333333332
2026-01-30,576.25,SNDK,167.53023333333334
2026-02-02,665.24,SNDK,171.65083333333334
2026-02-03,695.51,SNDK,175.98523333333333
2026-02-04,584.55,SNDK,179.5825
2026-02-05,576.2,SNDK,183.11576666666667
2026-02-06,597.95,SNDK,186.7927
2026-02-09,583.4,SNDK,190.38056666666665
2026-02-10,541.64,SNDK,193.68370000000002
2026-02-11,599.34,SNDK,197.37130000000002
2026-02-12,630.29,SNDK,201.26023333333333
2026-02-13,626.56,SNDK,205.13003333333333
2026-02-17,590.59,SNDK,208.78410000000002
2026-02-18,600.4,SNDK,212.50196666666668
2026-02-19,621.09,SNDK,216.36683333333335
2026-02-20,649.97,SNDK,220.42316666666665
2026-02-23,666.49,SNDK,224.58516666666662
2026-02-24,638.52,SNDK,228.5645666666667
2026-02-25,632.38,SNDK,232.5047
2026-02-26,651.9,SNDK,236.56403333333336
2026-02-27,635.36,SNDK,240.51936666666666
2026-03-02,619.08,SNDK,244.3633666666667
2026-03-03,565.41,SNDK,247.8535
2026-03-04,599.06,SNDK,251.5610333333333
2026-03-05,565.59,SNDK,255.04236666666668
2026-03-06,527.33,SNDK,258.2717666666667
2026-03-09,588.73,SNDK,261.9211
2026-03-10,618.89,SNDK,265.7636333333333
2026-03-11,655.43,SNDK,269.85363333333333
2026-03-12,618.82,SNDK,273.69843333333336
2026-03-13,661.62,SNDK,277.83796666666666
2026-03-16,703.63,SNDK,282.2332333333333
2026-03-17,720.17,SNDK,286.7452333333334
2026-03-18,753.69,SNDK,291.4576333333333
2026-03-19,772.09,SNDK,296.2915
2026-03-20,709.71,SNDK,300.7117
2026-03-23,702.49,SNDK,305.0980333333333
2026-03-24,702.48,SNDK,309.4777666666667
2026-03-25,677.86,SNDK,313.69963333333334
2026-03-26,603.17,SNDK,317.4247666666667
2026-03-27,615.83,SNDK,321.2269666666667
2026-03-30,572.5,SNDK,324.7345
2026-03-31,635.34,SNDK,328.6582333333333
2026-04-01,692.73,SNDK,332.9607666666667
2026-04-02,701.59,SNDK,337.3151
2026-04-06,724.63,SNDK,341.8068333333333
2026-04-07,710.8,SNDK,346.1957
2026-04-08,780.9,SNDK,351.0612333333333
2026-04-09,851.57,SNDK,356.3849666666667
2026-04-10,851.77,SNDK,361.6467666666667
2026-04-13,952.5,SNDK,367.53976666666665
2026-04-14,944.46,SNDK,373.3662
2026-04-15,891.72,SNDK,378.84093333333334
2026-04-16,919.47,SNDK,384.4779333333333
2026-04-17,920.99,SNDK,390.0558666666667
2026-04-20,913.02,SNDK,395.56846666666667
