Date,Close,Symbol,Rolling_Avg_150d
2025-01-02,457.79,SPOT,
2025-01-03,466.69,SPOT,
2025-01-06,468.93,SPOT,
2025-01-07,463.93,SPOT,
2025-01-08,479.73,SPOT,
2025-01-10,459.53,SPOT,
2025-01-13,458.54,SPOT,
2025-01-14,463.59,SPOT,
2025-01-15,490.69,SPOT,
2025-01-16,490.34,SPOT,
2025-01-17,485.53,SPOT,
2025-01-21,487.51,SPOT,
2025-01-22,493.56,SPOT,
2025-01-23,501.5,SPOT,
2025-01-24,510.43,SPOT,
2025-01-27,513.98,SPOT,
2025-01-28,530.8,SPOT,
2025-01-29,538.83,SPOT,
2025-01-30,550.13,SPOT,
2025-01-31,548.55,SPOT,
2025-02-03,549.08,SPOT,
2025-02-04,621.77,SPOT,
2025-02-05,626.0,SPOT,
2025-02-06,625.87,SPOT,
2025-02-07,622.99,SPOT,
2025-02-10,637.69,SPOT,
2025-02-11,623.15,SPOT,
2025-02-12,640.59,SPOT,
2025-02-13,648.32,SPOT,
2025-02-14,638.18,SPOT,
2025-02-18,630.56,SPOT,
2025-02-19,642.73,SPOT,
2025-02-20,636.77,SPOT,
2025-02-21,607.38,SPOT,
2025-02-24,601.61,SPOT,
2025-02-25,588.57,SPOT,
2025-02-26,603.13,SPOT,
2025-02-27,590.76,SPOT,
2025-02-28,608.01,SPOT,
2025-03-03,599.86,SPOT,
2025-03-04,584.14,SPOT,
2025-03-05,586.83,SPOT,
2025-03-06,543.41,SPOT,
2025-03-07,532.1,SPOT,
2025-03-10,489.24,SPOT,
2025-03-11,508.44,SPOT,
2025-03-12,535.84,SPOT,
2025-03-13,537.91,SPOT,
2025-03-14,574.79,SPOT,
2025-03-17,597.46,SPOT,
2025-03-18,569.48,SPOT,
2025-03-19,586.23,SPOT,
2025-03-20,594.55,SPOT,
2025-03-21,599.94,SPOT,
2025-03-24,604.71,SPOT,
2025-03-25,615.88,SPOT,
2025-03-26,576.35,SPOT,
2025-03-27,580.22,SPOT,
2025-03-28,561.16,SPOT,
2025-03-31,550.03,SPOT,
2025-04-01,551.73,SPOT,
2025-04-02,565.41,SPOT,
2025-04-03,558.42,SPOT,
2025-04-04,503.3,SPOT,
2025-04-07,518.97,SPOT,
2025-04-08,518.35,SPOT,
2025-04-09,569.06,SPOT,
2025-04-10,553.02,SPOT,
2025-04-11,543.66,SPOT,
2025-04-14,549.17,SPOT,
2025-04-15,572.39,SPOT,
2025-04-16,563.07,SPOT,
2025-04-17,574.25,SPOT,
2025-04-21,558.82,SPOT,
2025-04-22,590.39,SPOT,
2025-04-23,592.7,SPOT,
2025-04-24,605.95,SPOT,
2025-04-25,620.72,SPOT,
2025-04-28,597.73,SPOT,
2025-04-29,576.94,SPOT,
2025-04-30,613.98,SPOT,
2025-05-01,602.26,SPOT,
2025-05-02,644.0,SPOT,
2025-05-05,637.65,SPOT,
2025-05-06,632.85,SPOT,
2025-05-07,657.1,SPOT,
2025-05-08,655.26,SPOT,
2025-05-09,648.25,SPOT,
2025-05-12,620.81,SPOT,
2025-05-13,620.07,SPOT,
2025-05-14,633.23,SPOT,
2025-05-15,640.18,SPOT,
2025-05-16,656.3,SPOT,
2025-05-19,664.62,SPOT,
2025-05-20,658.61,SPOT,
2025-05-21,643.0,SPOT,
2025-05-22,636.75,SPOT,
2025-05-23,653.82,SPOT,
2025-05-27,653.4,SPOT,
2025-05-28,663.96,SPOT,
2025-05-29,636.67,SPOT,
2025-05-30,665.14,SPOT,
2025-06-02,672.0,SPOT,
2025-06-03,671.07,SPOT,
2025-06-04,701.08,SPOT,
2025-06-05,712.82,SPOT,
2025-06-06,712.26,SPOT,
2025-06-09,699.11,SPOT,
2025-06-10,693.32,SPOT,
2025-06-11,709.14,SPOT,
2025-06-12,702.82,SPOT,
2025-06-13,710.85,SPOT,
2025-06-16,715.57,SPOT,
2025-06-17,721.28,SPOT,
2025-06-18,710.19,SPOT,
2025-06-20,707.42,SPOT,
2025-06-23,731.15,SPOT,
2025-06-24,749.91,SPOT,
2025-06-25,736.3,SPOT,
2025-06-26,775.9,SPOT,
2025-06-27,772.6,SPOT,
2025-06-30,767.34,SPOT,
2025-07-01,722.35,SPOT,
2025-07-02,709.5,SPOT,
2025-07-03,725.05,SPOT,
2025-07-07,736.29,SPOT,
2025-07-08,721.39,SPOT,
2025-07-09,722.12,SPOT,
2025-07-10,709.95,SPOT,
2025-07-11,709.15,SPOT,
2025-07-14,717.49,SPOT,
2025-07-15,710.46,SPOT,
2025-07-16,705.55,SPOT,
2025-07-17,720.91,SPOT,
2025-07-18,695.48,SPOT,
2025-07-21,706.88,SPOT,
2025-07-22,675.74,SPOT,
2025-07-23,674.46,SPOT,
2025-07-24,681.42,SPOT,
2025-07-25,693.1,SPOT,
2025-07-28,700.98,SPOT,
2025-07-29,620.01,SPOT,
2025-07-30,650.47,SPOT,
2025-07-31,626.54,SPOT,
2025-08-01,627.15,SPOT,
2025-08-04,658.59,SPOT,
2025-08-05,647.0,SPOT,
2025-08-06,666.81,SPOT,
2025-08-07,686.74,SPOT,
2025-08-08,705.89,SPOT,617.6924666666666
2025-08-11,689.23,SPOT,619.2354
2025-08-12,689.35,SPOT,620.7198
2025-08-13,695.0,SPOT,622.2269333333332
2025-08-14,698.5,SPOT,623.7907333333334
2025-08-15,732.81,SPOT,625.4779333333332
2025-08-18,728.07,SPOT,627.2682
2025-08-19,719.35,SPOT,629.0069333333333
2025-08-20,703.79,SPOT,630.6082666666667
2025-08-21,689.47,SPOT,631.9334666666667
2025-08-22,692.99,SPOT,633.2844666666667
2025-08-25,694.79,SPOT,634.6795333333334
2025-08-26,696.47,SPOT,636.0726
2025-08-27,692.99,SPOT,637.4021333333334
2025-08-28,687.8,SPOT,638.6441333333333
2025-08-29,681.88,SPOT,639.7871333333334
2025-09-02,689.62,SPOT,640.9580666666666
2025-09-03,697.33,SPOT,642.0682666666667
2025-09-04,703.85,SPOT,643.1684
2025-09-05,707.19,SPOT,644.2154666666667
2025-09-08,718.28,SPOT,645.347
2025-09-09,719.16,SPOT,646.4808666666667
2025-09-10,704.09,SPOT,647.0296666666668
2025-09-11,690.31,SPOT,647.4584000000001
2025-09-12,696.4,SPOT,647.9286
2025-09-15,703.1,SPOT,648.4626666666667
2025-09-16,704.06,SPOT,648.9051333333333
2025-09-17,707.19,SPOT,649.4653999999999
2025-09-18,734.12,SPOT,650.0889333333333
2025-09-19,734.92,SPOT,650.6662666666667
2025-09-22,738.53,SPOT,651.3352666666666
2025-09-23,718.94,SPOT,651.9244666666666
2025-09-24,708.65,SPOT,652.3639333333334
2025-09-25,712.62,SPOT,652.8696
2025-09-26,716.53,SPOT,653.5972666666667
2025-09-29,728.47,SPOT,654.443
2025-09-30,698.0,SPOT,655.1725333333334
2025-10-01,700.68,SPOT,655.8228666666666
2025-10-02,707.3,SPOT,656.5998
2025-10-03,680.5,SPOT,657.0830666666666
2025-10-06,680.28,SPOT,657.6192
2025-10-07,680.44,SPOT,658.2611999999999
2025-10-08,674.75,SPOT,658.8473333333333
2025-10-09,673.66,SPOT,659.7156666666667
2025-10-10,685.29,SPOT,660.7369333333332
2025-10-13,692.04,SPOT,662.0889333333333
2025-10-14,683.51,SPOT,663.2560666666667
2025-10-15,671.3,SPOT,664.1591333333333
2025-10-16,664.46,SPOT,665.0028
2025-10-17,671.52,SPOT,665.6476666666666
2025-10-20,675.53,SPOT,666.1681333333333
2025-10-21,689.21,SPOT,666.9663333333333
